file_name,file_path,label,treatment,zcr,rms,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
ENH_cocina_01.wav,./processed_dataset\train\ENH_cocina_01.wav,cocina,train,0.18383677582762556,0.009438002,-540.49567,10.61062,-1.989502,8.4701395,-8.109012,5.07803,-4.521949,0.5303831,-1.6294895,-0.11947154,-2.6105616,-0.9819428,-2.005144
ENH_cocina_02.wav,./processed_dataset\train\ENH_cocina_02.wav,cocina,train,0.3020293281607552,0.008242409,-510.25256,4.820182,-1.2458382,4.445613,-4.2094016,4.1938314,-3.3120754,1.1284007,-1.8159708,1.4394516,-0.07430777,-0.295249,-1.7874429
ENH_cocina_03.wav,./processed_dataset\train\ENH_cocina_03.wav,cocina,train,0.23571749021171692,0.00926693,-543.8251,7.568366,-11.878443,0.13495553,-6.4850054,8.891928,-5.0784774,-0.8266103,-2.9721272,1.2323972,0.09494011,-0.61849546,-1.175886
ENH_nula_01.wav,./processed_dataset\train\ENH_nula_01.wav,nula,train,0.3972405327690972,0.00790321,-532.1361,9.558154,-6.0522213,7.468613,-2.2791257,5.087644,-2.2124584,3.4568064,-1.950108,0.50608814,-0.22795282,0.63911784,-0.55895144
ENH_nula_02.wav,./processed_dataset\train\ENH_nula_02.wav,nula,train,0.24537095780162413,0.027542124,-490.98102,7.1211934,-53.946716,22.10023,-11.625601,13.021684,-16.483953,13.211876,-8.7806,0.717207,-6.473798,1.9688379,-1.6409739
ENH_nula_03.wav,./processed_dataset\train\ENH_nula_03.wav,nula,train,0.2271493334288991,0.04271027,-405.52637,16.102242,-49.710827,1.588387,-20.093094,6.2440934,-12.931853,12.587194,-7.921453,6.3526397,-9.571311,-2.3068151,-0.78901446
ENH_oficina_01.wav,./processed_dataset\train\ENH_oficina_01.wav,oficina,train,0.21462623259860789,0.051054418,-371.271,39.8491,-38.474873,-20.843893,-10.111515,13.721858,-13.743871,7.4996834,-0.20958085,5.7968893,-4.08858,-0.9770097,-1.1760634
ENH_oficina_02.wav,./processed_dataset\train\ENH_oficina_02.wav,oficina,train,0.18037630510440836,0.02668549,-456.5184,33.9606,-25.779188,0.62972987,-7.668619,12.268325,-7.176119,7.182152,-1.444875,-4.0132203,-0.5144318,5.5817046,-3.6172142
ENH_oficina_03.wav,./processed_dataset\train\ENH_oficina_03.wav,oficina,train,0.2288589825913242,0.057683755,-365.48352,35.831642,-37.653976,2.6783342,-30.704058,22.997017,3.5287778,5.9937353,-13.913204,1.4203405,-11.225247,3.6118922,-1.8209574
ENH_pasos_01.wav,./processed_dataset\train\ENH_pasos_01.wav,pasos,train,0.29939203979214124,0.013874304,-538.1792,46.415993,-1.8904135,5.9271736,-4.12715,7.8157187,-7.8408,2.3973305,-3.6687558,-1.0209242,-3.165862,-3.342634,-2.8497884
ENH_pasos_02.wav,./processed_dataset\train\ENH_pasos_02.wav,pasos,train,0.3374802018080866,0.010939021,-569.7249,57.16131,-18.93346,-9.921615,-0.45855868,0.9712708,-2.5975697,-0.7244949,-1.4217209,-0.76332027,-2.941943,-4.2298503,-3.6365676
ENH_pasos_03.wav,./processed_dataset\train\ENH_pasos_03.wav,pasos,train,0.3130812338732798,0.006353562,-595.19086,12.395217,-9.679624,12.763413,-7.995613,11.774824,-7.8960667,3.400034,-6.215798,2.3090627,-3.3098183,0.455433,-1.9168141
ENH_sala_01.wav,./processed_dataset\train\ENH_sala_01.wav,sala,train,0.32689223345588236,0.03281116,-473.20535,43.927795,-9.79091,12.748733,-0.2036693,-0.17349587,-11.932069,-8.173229,-2.4674966,-0.56896603,-6.227858,-0.7813426,0.61967254
ENH_sala_02.wav,./processed_dataset\train\ENH_sala_02.wav,sala,train,0.16153802981321838,0.038839344,-453.83957,37.442184,-29.938631,16.803022,2.159329,-5.866952,-11.265739,-4.0747123,5.0998874,4.7353234,2.4187865,9.914768,-1.5537199
ENH_sala_03.wav,./processed_dataset\train\ENH_sala_03.wav,sala,train,0.31116751494874717,0.052334137,-417.0188,69.086685,3.6537251,18.718786,4.7607927,-4.2443423,-17.986898,-16.34703,-10.827142,0.57133764,-7.782371,-7.209502,-1.0440296
EARA_BANO_01.wav,./processed_dataset\train\EARA_BANO_01.wav,bano,train,0.14551568800403225,0.020695379,-431.19833,53.641445,8.128792,6.914076,-2.925103,-6.495477,-9.243797,-11.108936,-8.126217,-5.153754,-5.0639043,-1.8557658,-0.31589687
EARA_BANO_02.wav,./processed_dataset\train\EARA_BANO_02.wav,bano,train,0.1366073678715438,0.015413128,-474.80106,49.051197,2.8243403,10.098237,12.075576,7.776593,0.041776735,-5.2348194,0.68538344,6.6179338,2.2178118,-4.222634,-4.124284
