student_id,sample_number,is_exito,sensor_name,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
Edgar,1,0,Antebrazo,0.98,0.63220179,-0.87011731,-0.54936814,27.23265076,-78.61096954,43.09496307,0.65981954,-0.54460871,-0.48357844,0.18490928
Edgar,1,0,Antebrazo,0.99,0.61203182,-0.79890132,-0.55475563,20.87753677,-74.81717682,51.15302658,0.6562196,-0.55126756,-0.48181781,0.18256958
Edgar,1,0,Antebrazo,1.0,0.62725967,-0.70195973,-0.57748836,18.3494606,-72.94160461,58.50324249,0.652385,-0.55792242,-0.48044398,0.17969404
Edgar,1,0,Antebrazo,1.01,0.69807023,-0.64541829,-0.58698976,21.03369331,-74.61119843,63.75722122,0.64813119,-0.56485474,-0.47921577,0.17668428
Edgar,1,0,Antebrazo,1.02,0.7664234,-0.63796997,-0.56635326,27.81053543,-78.06155396,68.47848511,0.65070814,-0.56736279,-0.47335261,0.17497361
Edgar,1,0,Antebrazo,1.03,0.754875,-0.69627976,-0.54347515,34.93635559,-81.06237793,72.73282623,0.64527792,-0.57520956,-0.47231889,0.17223632
Edgar,1,0,Antebrazo,1.04,0.71267968,-0.79750216,-0.54108816,38.71720123,-82.67585754,76.02877045,0.6394372,-0.58327788,-0.47134584,0.16952917
Edgar,1,0,Antebrazo,1.05,0.72558171,-0.90257692,-0.53622574,40.24526596,-84.02244568,76.0823822,0.63343716,-0.59140259,-0.47026646,0.16688295
Edgar,1,0,Antebrazo,1.06,0.75661689,-0.94505024,-0.51852006,39.16049194,-85.99861908,73.84081268,0.62750453,-0.59949619,-0.46889803,0.16424702
Edgar,1,0,Antebrazo,1.07,0.7420876,-0.9238658,-0.48184788,38.195961,-90.7416153,70.81317139,0.61773062,-0.60239297,-0.47781673,0.16499312
Edgar,1,0,Antebrazo,1.08,0.66546214,-0.89397717,-0.4600459,39.72114563,-95.54364014,67.50707245,0.61183614,-0.61081386,-0.47548097,0.16272941
Edgar,1,0,Antebrazo,1.09,0.53125674,-0.86493123,-0.42889807,43.83849335,-95.53834534,64.38772583,0.6057933,-0.61916906,-0.47303253,0.16088629
Edgar,1,0,Antebrazo,1.1,0.40377903,-0.83757854,-0.38292316,48.91371918,-89.63565063,60.43280411,0.59964693,-0.62710661,-0.47082728,0.15963313
Edgar,1,0,Antebrazo,1.11,0.35668197,-0.82227707,-0.31898507,54.52269745,-76.0659256,57.96830368,0.59338868,-0.63423103,-0.46942836,0.15899019
Edgar,1,0,Antebrazo,1.12,0.35990947,-0.83310783,-0.26800114,57.69551849,-58.9600296,58.24800873,0.56862384,-0.64249647,-0.48775142,0.16113284
Edgar,1,0,Antebrazo,1.13,0.37352499,-0.85537159,-0.22213756,57.55216599,-46.89679337,59.18582916,0.56227964,-0.64781052,-0.48812428,0.16099016
Edgar,1,0,Antebrazo,1.14,0.40698135,-0.85042775,-0.1914124,54.8116951,-40.60869217,60.3520546,0.55606323,-0.65269661,-0.48885363,0.16063344
Edgar,1,0,Antebrazo,1.15,0.41774228,-0.82478249,-0.19397737,53.6011734,-41.69432831,61.62099457,0.54980808,-0.65761709,-0.48950535,0.16011083
Edgar,1,0,Antebrazo,1.16,0.39301494,-0.81387508,-0.22289874,53.9372673,-48.82261276,61.9550705,0.54340178,-0.66292214,-0.48968768,0.15954591
Edgar,1,0,Antebrazo,1.17,0.34557736,-0.82148457,-0.24032716,55.09506226,-58.1140976,60.54462051,0.52471066,-0.66902292,-0.50080955,0.16210148
Edgar,1,0,Antebrazo,1.18,0.27079806,-0.82169402,-0.24184637,56.61937714,-64.12103271,58.10364532,0.51803052,-0.67500132,-0.4997834,0.16196984
Edgar,1,0,Antebrazo,1.19,0.16652738,-0.81256855,-0.23779854,59.26767349,-64.68666077,55.02443314,0.51129532,-0.68091273,-0.4986335,0.16217186
Edgar,1,0,Antebrazo,1.2,0.07625166,-0.83752072,-0.25561136,61.18129349,-60.28773499,52.37085342,0.50458735,-0.68647599,-0.49768418,0.1626436
Edgar,1,0,Antebrazo,1.21,0.05178298,-0.89288998,-0.24411343,60.50716019,-52.29538727,49.27502823,0.49812534,-0.69144928,-0.49710819,0.16325624
Edgar,1,0,Antebrazo,1.22,0.07069221,-0.94573426,-0.19322349,56.19750977,-39.45484924,45.32452774,0.46617031,-0.70480675,-0.51137555,0.156294
Edgar,1,0,Antebrazo,1.23,0.11320809,-0.95022082,-0.15086946,46.72553253,-28.99118614,42.04908371,0.46099859,-0.70789909,-0.51171112,0.15656
Edgar,1,0,Antebrazo,1.24,0.21383944,-0.88505352,-0.1301683,38.54068375,-23.10335159,40.50595856,0.45644924,-0.71053052,-0.51218808,0.15640943
Edgar,1,0,Antebrazo,1.25,0.27769026,-0.85150564,-0.12473333,36.19186401,-24.65338516,39.65765762,0.45204607,-0.71318728,-0.51247209,0.15617491
Edgar,1,0,Antebrazo,1.26,0.2773796,-0.86456418,-0.13507476,35.20602036,-32.87792587,39.47416687,0.44758421,-0.71626562,-0.51217109,0.15592557
Edgar,1,0,Antebrazo,1.27,0.23734055,-0.87017417,-0.13924532,34.30851364,-44.32367706,37.82822037,0.43218362,-0.7199626,-0.51770312,0.16387451
Edgar,1,0,Antebrazo,1.28,0.17911828,-0.86101305,-0.13407296,33.92809296,-53.30526733,34.55191803,0.42772546,-0.72395545,-0.51578993,0.1640128
Edgar,1,0,Antebrazo,1.29,0.12535495,-0.84999275,-0.13088311,34.27619171,-57.97963715,30.58032799,0.42335832,-0.728073,-0.51345414,0.1644454
Edgar,1,0,Antebrazo,1.3,0.074343,-0.83543587,-0.12696411,34.49433136,-59.44810486,25.77545166,0.41917309,-0.73211825,-0.51088786,0.16519848
Edgar,1,0,Antebrazo,1.31,0.04308329,-0.83791077,-0.12879318,34.11099243,-59.49849319,21.90586662,0.41518074,-0.736036,-0.50819647,0.16616984
Edgar,1,0,Antebrazo,1.32,0.02213112,-0.86311877,-0.13353623,32.86495972,-58.2399292,20.53211212,0.39378038,-0.74467981,-0.51537073,0.15742368
Edgar,1,0,Antebrazo,1.33,-0.00996588,-0.9118644,-0.14490479,29.95150185,-55.64324188,20.14036179,0.39009595,-0.74820429,-0.51278472,0.15832694
Edgar,1,0,Antebrazo,1.34,-0.04556779,-0.94920743,-0.13714391,24.12450218,-51.69252396,20.34375954,0.38681147,-0.7514835,-0.51031059,0.15884809
